density,viscosity,surface_tension,tank_diameter,liquid_height,baffle_num,solid_fraction,process_goal,target_mixing_time_req,max_power_req,operation_mode,impeller_type,impeller_diameter,speed_rps,clearance,num_impellers,impeller_spacing,mixing_time,power,suspension_score
1075.5513759008209,0.035171033423908836,0.06747513343716424,2.9390558790918897,3.9873695607496984,4,0.07354433697191239,suspension,20.695138137518562,32639.57449488694,batch,propeller,0.8100705948343487,3.6259648447389177,0.8494304952155852,2,1.614113530813944,24.50079580626429,17692.09153472142,1.0
1041.8103872519473,0.04476293494478769,0.07106233678063689,0.9865967696299189,1.1642163534242422,4,0.24459587426844048,suspension,11.236480329475773,441.14620987859666,batch,pitched_blade,0.2770934952998165,4.207622383106137,0.2911708119352527,2,0.42131653129270197,9.91751571534576,338.2456535606634,1.0
1233.071278423135,16.30596542772001,0.06240848326407197,2.5806495034880026,3.5686733968985798,0,0.0,mixing,2161.0337389543774,14839.470356423824,batch,anchor,2.2935466666104576,0.3588854026201627,0.12903247517440014,1,0.0,1599.7619539202271,8737.499666089732,0.5013515813897779
1083.566310215336,0.007850052908255216,0.0581997182704926,2.171007404476179,2.5675586750829873,4,0.07863251838399336,suspension,25.856303793183468,111902.80554042447,batch,pitched_blade,0.8749154878922464,4.086795800001477,0.5077575436635859,2,0.9895181847271713,18.503387759287147,85386.43057972442,1.0
1017.4375031066735,0.05614618308178656,0.061181328471260635,2.459745522766034,3.1941963244093174,4,0.0,mixing,33.017404851008884,2767.5909104091556,batch,propeller,0.6693042779082895,2.91743229976926,0.4021860517715367,1,0.0,36.418191195512264,1602.8317619287898,0.9502498823745537
1020.6048356591506,18.72881791711613,0.060169042979804424,0.7191247982902524,0.6981289007969121,0,0.0,mixing,286.28685674886174,1480.3450989267765,batch,anchor,0.6804285249462181,0.7723871271384047,0.035956239914512626,1,0.0,219.91225199585136,983.9937202788088,0.49287472057877146
1261.0409586175367,0.021033973114727805,0.054584841274675555,1.2648915603766313,1.577992370954725,4,0.0,mixing,5.741853637257461,1208.5925016983338,batch,propeller,0.3522623608234721,4.396298824588025,0.2717163599528466,3,0.4465120359738303,6.925155499709469,782.4672840703483,0.9535855126991263
941.3611870890206,0.017888703885151725,0.05880462630968678,2.812800295941993,3.512165633773591,4,0.0,mixing,41.99465766494438,4634.2462793131635,batch,propeller,0.6712391347886445,2.5570096775742437,0.6254135319163234,3,1.0166631347213464,34.9894354970314,3036.5791340232154,0.9582881886655199
1108.2689609886152,2.058991914136191,0.05404516672976149,2.5657298104858945,3.688740673815708,4,0.0,mixing,1094.144604521093,4593.851040510799,continuous,anchor,2.216854465766733,0.5360240956926996,0.12828649052429472,1,0.0,817.7138011117445,3837.909993321923,0.5353585982715977
914.9650224704719,0.03772130610238144,0.05775527902052746,2.5744743578310327,3.5655205357531674,4,0.0,mixing,33.49367685692178,11268.484459998594,continuous,propeller,0.7541534124046191,3.2272945953502963,0.48501748799958355,2,1.6745748785257106,23.517965378862854,6352.925799545107,0.9244412485136075
